futex.futex_wait_requeue_pi_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_bitset_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_bitset_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_count = 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
futex.futex_wake_delay = 0, 1000000000, 1000000000, 0, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1000000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_op_count = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
futex.futex_wake_op_delay = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
global.time = 17154100000000
global.time_begin = 0
global.time_end = 17154100000000
interval_timer.cpContr_branch = 4077326350031, 197885494500, 192401924857, 185613410209, 201232974678, 193831012720, 170293490175, 171321276887, 179788272681, 181797035052, 214049946602, 196705266164, 193316727952, 190777566469, 190852048501, 163429485557, 175077370074, 179812056960, 185548787376, 193577996895, 187241731983, 206455118209, 209069732598, 181284303512, 169787681412, 173296416019, 177021066838, 192529919842, 199834156444, 194486719091, 195381445026, 190109285149, 189301927840, 163263369952, 175519658557, 178946929297
interval_timer.cpContr_fp_addsub = 1378598353985, 1360415077730, 1418839643200, 1378447160901, 1432365759646, 1376746145983, 1367391270393, 1361927647961, 1368154769568, 1368745967442, 1343851722419, 1354347137710, 1338517144948, 1382418385713, 1516987925987, 1443230792748, 1355383393732, 1382117945962, 1374571274648, 1387755239305, 1414836425952, 1374951485275, 1451186384323, 1369652977591, 1374202882220, 1361775808370, 1351782772394, 1371592267026, 1360055624827, 1351497760013, 1337629683393, 1373205531926, 1524877589487, 1432686785393, 1362334026951, 1359746817777
interval_timer.cpContr_fp_muldiv = 1515372040225, 1498403472173, 1591426257792, 1431797689283, 1562579402322, 1531178621750, 1493345235389, 1405007031091, 1457945060575, 1445170231411, 1466776970521, 1466534096615, 1441076322352, 1588757204246, 1725077576973, 1491748935074, 1416062170494, 1474850301527, 1491901341480, 1536399884638, 1551425815840, 1464468997007, 1577268872228, 1491587007157, 1522009291188, 1422639220186, 1421381020047, 1469658822070, 1474688821741, 1476846680409, 1448370899847, 1567451013627, 1707491645928, 1491206193927, 1432628941724, 1427946573327
interval_timer.cpContr_generic = 6186450638121, 1341861769435, 1316947367789, 1325315534962, 1276696347060, 1329123368382, 1330159345065, 1358434887732, 1363674181854, 1340026344435, 1369322990267, 1342535910074, 1319281838833, 1343582367797, 1348575462560, 1330870542301, 1346503976511, 1355584991718, 1339849105673, 1304506062326, 1307356035105, 1365319061546, 1303336616065, 1313397103781, 1338544910912, 1368377282969, 1353874573585, 1340472197224, 1345403323292, 1332004265970, 1323724948033, 1340028504015, 1355616545378, 1349567863846, 1358634787480, 1371171799937
interval_timer.cpContr_load_l1 = 7442804951092, 565632339393, 511097820847, 639186760580, 614941467160, 588665872727, 456406031938, 495576627221, 531473355758, 504988922520, 593991654752, 573122857396, 570909565466, 624786475689, 678427390064, 535506267323, 531359914330, 523631859738, 528751035355, 553628402804, 514069535212, 620604580210, 655940589134, 571669605041, 442044610722, 510595664167, 509612119424, 535572224546, 572520056076, 572048494369, 568361486594, 618168843695, 637769494917, 570489833680, 543496744111, 512371388667
interval_timer.cpContr_load_l2 = 0, 0, 0, 0, 0, 0, 0, 2036108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_load_l3 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_load_other = 4665241394, 0, 0, 0, 0, 0, 0, 0, 174387652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1411764, 0, 0, 0, 0, 0, 0, 163242261, 0, 0, 0
interval_timer.cpContr_port0 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_port015 = 951733647506, 3251322, 2299371861, 1346404, 2962797150, 4348829683, 6192947369, 5991003, 0, 979630054, 327141052, 884512332, 654282104, 1742199487, 2485932620, 63870840, 0, 1793102, 653385553, 327141052, 4639666716, 0, 2816699776, 2688088887, 6508230226, 87861998, 344792844, 498640923, 0, 1122174731, 654282104, 1221301829, 3734009430, 622138671, 0, 654282104
interval_timer.cpContr_port05 = 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
interval_timer.cpContr_port1 = 8195112957, 500000, 0, 0, 500000, 500000, 500000, 0, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 0, 0, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 0, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000
interval_timer.cpContr_port2 = 1049090098835, 15565012999, 15686279626, 14714441175, 18261266665, 17371709244, 16232866798, 15758389177, 13402260951, 15291903829, 14018052257, 16229872163, 15001893674, 15844180952, 19331091673, 21665540404, 20469123370, 15442874684, 15585069776, 17666703067, 17640166891, 14767071722, 16471178477, 17105933258, 17014255877, 14925464223, 14263131969, 15118036658, 13646020313, 15784752597, 13972780906, 15616581662, 18354917008, 18665525016, 14949128510, 15351168779
interval_timer.cpContr_port34 = 262825327120, 2407628716, 2313372854, 2653840704, 2080097507, 2199213776, 2296564059, 2532999731, 2704580322, 3039729546, 2857063112, 2088063889, 2873296682, 2245413886, 2281631565, 1895314310, 2203513943, 2652829810, 2220430228, 2043480243, 2099197309, 2487013310, 2183463680, 2396613811, 2062347543, 2374730276, 2538363574, 3175812708, 2863813215, 2370313745, 3169329841, 2388597219, 2298441164, 2082630727, 2730880541, 2347796594
interval_timer.cpContr_port5 = 754127986067, 100106858012, 90459326973, 106692261790, 75547889728, 90533072665, 92521379335, 97011313092, 93903652691, 97821145393, 93250125592, 96912696612, 104294799328, 84890773160, 65164838949, 93277452034, 97498254870, 95069575829, 97719838888, 100048645871, 86076520831, 96993309896, 70090159110, 95344124945, 91200228234, 96317774459, 98266760741, 97670435299, 98392685761, 99466484996, 102593013624, 89056517968, 67261044299, 88039506648, 96149941072, 94421102012
